Title,Author,Publisher,Genre,Sub-Genre,Year,Pages,Format,Start Date,Finish Date,Duration,Rating
DaVinci's Ghost,Toby Lester,Free Press,Nonfiction,History,2012,299,eBook,09-06-2021,09-12-2021,7,9.0
Pachinko,Min Jin Lee,Grand Central Publishing,Fiction,Historical Fiction,2017,595,eBook,06-01-2021,06-13-2021,13,9.5
Refuse to Choose!,Barbara Sher,Rodale Books,Nonfiction,Self Help,2007,288,eBook,,,,
Python Crash Course,Eric Matthes,No Starch Press,Science,Programming,2019,544,Physical,01-23-2022,,,
The Alchemist,Paulo Coelho,HarperOne,Fiction,Classics,2014,182,Physical,02-28-2022,03-11-2022,12,5.0
The Easy Life in Kamusari,Shion Miura,Amazon Crossing,Fiction,Cultural,2021,205,eBook,05-03-2022,05-11-2022,9,6.0
Where The Desert Meets The Sea,Werner Sonne,Amazon Crossing,Fiction,Historical Fiction,2019,250,eBook,05-11-2022,05-20-2022,10,7.0
The Ardent Swarm,Yamen Manai,Amazon Crossing,Fiction,Historical Fiction,2021,174,eBook,05-23-2022,05-26-2022,4,6.0
After Dark,Haruki Murakami,Knopf Doubleday Publishing Group,Fiction,Cultural,2004,154,eBook,05-27-2022,06-02-2022,7,7.0
Crying In H Mart,Michelle Zauner,Knopf Doubleday Publishing Group,Nonfiction,Memoir,2021,256,eBook,06-03-2022,06-08-2022,6,9.5
"Why Fish Don't Exist: A Story of Loss, Love, and the Hidden Order of Life",Lulu Miller,Simon & Schuster,Nonfiction,Memoir,2020,224,eBook,06-09-2022,06-10-2022,2,9.5
Empire of Pain: The Secret History of the Sackler Dynasty,Patrick Radden Keefe,Doubleday,Nonfiction,History,2021,535,eBook,06-11-2022,08-27-2022,78,8.5
The Song of Achilles,Madeline Miller,Ecco,Historical,Historical Fiction,2011,378,eBook,09-06-2022,,,
In Waves,AJ Dungo,Nobrow,Nonfiction,Graphic Novel,2019,376,Physical,12-15-2022,12-15-2022,1,9.5
Do Androids Dream of Electric Sheep?,Philip K. Dick,Ballantine Books,Fiction,Science Fiction,1968,244,Physical,12-31-2022,01-10-2023,11,8.0
"The Boy, The Mole, The Fox, and The Horse",Charlie Mackesy,Ebury Press,Fiction,Graphic Novel,2019,128,Physical,01-16-2023,01-16-2023,1,8.5
Everything I Never Told You,Celeste Ng,Penguin Press,Fiction,Mystery,2014,292,Physical,01-16-2023,02-02-2023,18,8.0
The Doors of Perception / Heaven & Hell,Aldous Huxley,Harper Perennial Modern Classics,Philosophy,Nonfiction,1956,208,Physical,04-10-2023,10-08-2023,182,8.0
Sputnik Sweetheart,Haruki Murakami,Knopf Doubleday Publishing Group,Fiction,Cultural,2001,178,eBook,06-09-2023,09-18-2023,102,7.0
A Brief History of Time,Stephen Hawking,Bantam Books,Science,Nonfiction,1996,248,Physical,10-08-2023,10-31-2023,24,9.0
The Latinos of Asia,Anthony Christian Ocampo,Stanford University Press,Nonfiction,History,2016,214,Physical,12-23-2023,01-06-2024,15,7.5
Under Alien Skies,Philip Plait,W.W. North & Company,Science,Nonfiction,2023,336,Physical,01-07-2024,01-15-2024,9,8.5
The Water Dancer,Ta-Nehisi Coates,One World,Fiction,Historical Fiction,2019,416,Physical,01-16-2024,01-30-2024,15,8.0
Good Omens,Neil Gaiman & Terry Pratchett,William Morrow,Fiction,Fantasy,2006,491,Physical,01-31-2024,02-16-2024,17,8.0
A Heartbreaking Work of Staggering Genius,Dave Eggers,Vintage,Fiction,Contemporary,2000,437,Physical,02-17-2024,02-29-2024,13,6.0
Tiny Beautiful Things: Advice on Love and Life from Dear Sugar,Cheryl Strayed,Knopf Doubleday Publishing Group,Nonfiction,Self Help,2012,353,Physical,03-01-2024,03-14-2024,14,8.5
Correction,Thomas Bernhard,Vintage,Fiction,German Literature,1975,271,eBook,03-15-2024,04-01-2024,18,9.0
The Emigrants,W.G. Sebald,Vintage,Fiction,German Literature,1992,159,eBook,04-02-2024,04-14-2024,13,8.0
1Q84 - Part 1,Haruki Murakami,Knopf Doubleday Publishing Group,Fiction,Fantasy,2009,387,Physical,04-15-2024,04-23-2024,9,7.5
1Q84 - Part 2,Haruki Murakami,Knopf Doubleday Publishing Group,Fiction,Fantasy,2009,352,Physical,04-23-2024,04-30-2024,8,7.5
1Q84 - Part 3,Haruki Murakami,Knopf Doubleday Publishing Group,Fiction,Fantasy,2009,418,Physical,04-30-2024,05-09-2024,10,8.0
The Wisdom of Insecurity,Alan Watts,Vintage,Philosophy,Nonfiction,1951,152,Physical,05-09-2024,05-15-2024,7,7.0
The Order of Time,Carlo Rovelli,Riverhead Books,Science,Nonfiction,2018,212,Physical,05-16-2024,05-22-2024,7,7.5
The Beginning of Infinity: Explanations That Transform the World,David Deutsch,Penguin Group,Science,Nonfiction,2011,496,eBook,05-23-2024,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
